description,location,date,category
"The Metropolitan Police Department (MPD) is investigating a Stolen Auto that occurred in front of the East Tower dormitory located at 2251 Sherman Avenue NW at 1933 hours.  The vehicle was left running with the keys inside of it. Lookout is for a Black four door, 2019 Toyota Corolla bearing VA-TTM6555.  The vehicle was last seen traveling east bound on Barry Place toward Georgia Avenue NW. This is non-Howard related.  No further information at this time. Please avoid the area.",2251 Sherman Ave NW,11/27/24,Motor Theft
"The Metropolitan Police Department (MPD) is investigating an Armed Robbery that occurred on 11/20/2024, in the 2100 block of 9th Street NW, by the gas station at 12:30 am. Lookout is for two black males, both 6’0 in height, one was light skin complexion wearing a black hoodie, the other was dark skin complexion wearing an orange hoodie and armed with a black handgun. The items taken from the complainant was an iPhone. Both suspects were last seen on foot westbound on W Street NW. This incident is non-Howard related. ",2100 Block of 9th St NW,11/20/24,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating an attempt robbery that occurred in the rear of Howard Plaza East Towers at approximately 11:30 a.m. The suspects are described as three black male subjects dressed in all black and wearing black ski masks. All three were last seen traveling east on Bryant Street from Georgia Ave on foot.  The complainants involved are Howard University students. No injuries were reported, nothing was obtained, and no weapons were displayed. ",Howard Plaza East Towers,11/15/24,Attempted Robbery
"The Metropolitan Police Department (MPD) is investigating an Armed Robbery that occurred at 8th & V Street NW, between the hours of 3:30 – 3:40 AM. Lookout is for a white SUV, possibly a Cadillac, unknown tags and occupied with 4 suspects, where 2 of the suspects jumped out the SUV. One wearing a black ski mask and the other wearing a red ski mask. At the time of the robbery, one of the suspects was armed with a handgun. This is Howard related. ",8th & V St. NW,11/3/24,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating an armed robbery that occurred in the 2600 block of Georgia Avenue NW at 12:30 a.m. The suspects are described as follows: The first is a Black male, approximately 5'9"", heavyset, with a dark complexion, dressed entirely in black and wearing a black ski mask. He was armed with a gun. The second suspect is a Black female, approximately 5'3"", also dressed entirely in black and wearing a black ski mask. They were last seen fleeing northbound on Georgia Avenue NW and getting into a grey four-door sedan, which continued northbound. This incident is related to Howard University and there are no reported injuries. No further details are available at this time.",2600 Block of Georgia Ave NW,10/24/24,Armed Robbery
The Metropolitan Police Department (MPD) is investigating a shooting that occurred on the 2500 block of Georgia Ave. NW at 04:00 am. ,2500 Block of Georgia Ave. NW,10/21/24,Shooting
"The Metropolitan Police Department (MPD) is investigating a shooting that occurred on 8th and Barry Place NW at 01:53 am. Preliminary investigation has determined that three individuals were shot.  The victims were transported to an area hospital.  The look out is for one male, wearing a white hoodie last seen fleeing the scene in an unidentified vehicle. No further information at this time.",8th & Barry Pl NW,10/20/24,Shooting
The Metropolitan Police Department (MPD) is investigating a Stolen Auto that occurred in the parking lot of the Howard University Hospital visitor parking between the hours of 8:30 p.m. and 11:10 p.m. Lookout is for a black 4 door Hyundai bearing VA-4MIL. No further information at this time.,Howard University Hospital,10/16/24,Motor Theft
"The Metropolitan Police Department (MPD) is investigating a stabbing that occurred at 02:01 hours in the 1900 Block of 9thStreet NW. Lookout is for a Black male, wearing a green sweater, dark colored pants, last seen fleeing the scene on foot. This is non-Howard related.  No further information at this time.",1900 Block of 9th St NW,10/12/24,Stabbing
"The Metropolitan Police Department (MPD) is investigating a shooting that occurred in the 2200 Block of Georgia Avenue NW, near the Chase Bank at 8:00 a.m.  There are no reported victims at this time. There is no lookout for any suspects involved in the incident. This is not a Howard related incident.  No further information.",2200 Block of Georgia Ave. NW,9/26/24,Shooting
"A witness observed an Armed Robbery that occurred in the 2300 Block of Georgia Ave. N.W., at 3:28 p.m. The victim reported that they sustained minor injuries. The victim is not a Howard University student. Lookout is for a Black male, dreads, 20-25 years old, between 5’10” – 6’2” tall, wearing glasses.  The suspect was last seen headed towards 14th Street NW.",2300 Block of Georgia Ave NW,9/26/24,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating a Burglary and Assault with a dangerous weapon that occurred at the Wonder Plaza Building located at 2301 Georgia Avenue NW. Lookout is for a Black Male, early 30’s, thin build, 150 lbs., 6’0”, wearing dark colored pants, black hoodie, black sneakers, tan baseball cap and armed with a kitchen style knife with a black handle.  The suspect was last seen fleeing the scene west bound on Bryant Street towards Georgia Avenue.  ",Wonder Plaza,9/25/24,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating a Robbery Snatch that occurred in the 2300 Block of Georgia Ave NW, at 6:06 p.m. Lookout is for three Black Males between 5’10 – 6’2 in height.  They were last seen fleeing the scene, one suspect went South bound and the other two suspects went West bound on Barry Place NW.",2300 Block of Georgia Ave NW,9/24/24,Robbery
"The Metropolitan Police Department (MPD) is investigating an Armed Robbery that occurred in the 2200 Block of 9th Street NW, at 3:30am. Lookout is for three Black Males while two of them were armed with handguns.  They were last seen fleeing the scene in a black SUV with unknown tags north bound on 9th Street NW.",2200 Block of 9th St NW,9/15/24,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating an Armed Robbery that occurred at 8th and Barry Place NW at approximately 12:43 a.m. Lookout is for a black male, armed with a handgun and wearing a ski mask.  He was last seen operating a silver Hyundai sedan with temporary tags and damage to the right front bumper.",8th & Barry Pl NW,9/9/24,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating an Attempted Armed Robbery that occurred at the corner of Georgia & Euclid Street NW. Lookout is for #1 Black Male, 15-16 years of age, wearing a black hoodie, armed with a dark colored handgun.  #2 Black Male, light complexion, 11-12 years of age, wearing a beige hoodie, nothing further.  Both subjects were last seen fleeing the area south on Georgia Avenue on foot.",Georgia & Euclid Street NW,8/26/24,Attempted Robbery
The Metropolitan Police Department (MPD) is investigating a shooting that occurred in the intersection of Georgia & Florida Avenue NW at 12:19 am.  There are no reported injuries. This is non-Howard related.  No further information at this time. Please avoid the area.,Georgia Ave & Florida Ave. NW,8/23/24,Shooting
"The Metropolitan Police Department (MPD) is investigating an Armed Carjacking that occurred in the 2200 Block of 8th Street NW at 5:20 pm. Lookout is for a black male, light complexion, approximately 25-30 years old, with dreads.  The suspect was last seen fleeing the scene in the victim's silver Chevy Camaro. ",2200 Block of 8th St. NW,8/17/24,Motor Theft
The Metropolitan Police Department (MPD) is investigating a non-Howard related attempted armed robbery that occurred at approximately 2:15 a.m. at the intersection of Florida Avenue and 11th Street NW. Two complainants were approached by a group of eight individuals. The look out is for seven black males and a female all wearing black clothes and ski masks. The female suspect was riding on a rental bike. The group were last seen fleeing on 11th Street NW. The complainants are not a part of the Howard community. No further details or description at this time.,Florida Ave & 11th St NW,8/3/24,Attempted Robbery
"The Metropolitan Police Department (MPD) is investigating a shooting that occurred in the 900 Block of V Street NW at 0333 am. The look out is for one black male, approximately 25 years old fleeing from the area wearing a white Nike Tee shirt and dark colored pants. This is non-Howard related.  No further information at this time.",900 Block of V St NW,7/27/24,Shooting
The Metropolitan Police Department (MPD) is investigating the recovery of a stolen vehicle from an accident on Georgia and Howard Place NW at approximately 8:35 am. There is congestion and adjusted traffic patterns on Georgia Ave going Northbound. Lookout is a African American male who fled on foot going North on Georgia Ave. This is non- Howard related.  No further information at this time.,Georgia Ave & Howard Pl NW,7/23/24,Motor Theft
"The Metropolitan Police Department (MPD) and the Department of Public Safety (DPS) are actively investigating a report of gunshots near the parking garage area of the Howard University Hospital. It was reported that gunshots were fired this evening at approximately 10:23 p.m. in the 2100 - 3000 Block of 4th Street, NW. Law enforcement is currently canvassing the area.  Please be on the lookout for a gray colored vehicle observed fleeing the scene. At the time of this alert, no suspects have been identified, and there have been no injuries reported.",2100-3000 Block of 4th St NW,7/17/24,Shots Fired
"The Metropolitan Police Department (MPD) is investigating an Armed Robbery at approximately 2:19am on Vermont and V St NW. Lookout is for a silver colored Hyundai Accent occupied with 4 black males, 1 armed with a black handgun wearing a white hoodie. This is non- Howard related. No reported injuries and no further information at this time.",Vermont & V St NW,7/4/24,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating an Attempted Armed Robbery at approximately 11:55 in the 2000 Block of Georgia Avenue NW. Lookout is for a black male, 6’0” with a beard, running south bound on Georgia Avenue wearing dark clothing armed with a handgun.  Another black male, 6’0”, dark pants, white Tee shirt, armed with a knife. This is non-Howard related. No reported injuries and no further information at this time.",2000 Block of Georgia Ave NW,6/26/24,Armed Robbery
The Metropolitan Police Department (MPD) is investigating a shooting at approximately 3:00 am at 3rd St and W St NW and 11th St and Florida St NW. No reported injuries and no further information at this time.,3rd St & W St NW,6/5/24,Shooting
The Metropolitan Police Department (MPD) is investigating a stabbing that occurred at approximately 8:50am at the 515 Harvard St NW. The lookout is for a black male wearing no shirt. This is non-Howard related. No further details or description at this time.,515 Harvard St NW,5/26/24,Stabbing
The Metropolitan Police Department (MPD) are investigating an armed robbery that occurred at approximately 11:20pm at 8th St NW and Barry Place NW. A non-Howard related complainant and another male got into an altercation. Another black male armed and wearing a white hoodie took the complaints scooter and cell phone.,8th St & Barry Pl NW,5/23/24,Armed Robbery
The Metropolitan Police Department (MPD) is investigating a shooting at approximately 3:00 am at 9th St and V St NW. The look out is for one male fleeing from the area in a green mini van along with a white pick-up truck. This is non-Howard related. No further information at this time.,9th St and V St NW,5/6/24,Shooting
The Metropolitan Police Department (MPD) is investigating a shooting at approximately 12:00 am at 11th St and Florida St NW. The look out is for two (2) black males wearing dark clothing running from the area.  This is non-Howard related. No further information at this time. Please avoid the area.,11th St & Florida St NW,5/2/24,Shooting
The Metropolitan Police Department (MPD) is investigating a carjacking of an Amazon delivery at approximately 1:20 pm at the 7th St and Fairmont St NW. The look out is for two (2) black males wearing dark clothing and 1 on a scooter. This is non-Howard related. No injuries and transported to the hospital. No further information at this time.,7th St & Fairmont St NW,4/15/24,Motor Theft
The Metropolitan Police Department (MPD) is investigating a shooting at approximately 1:20 am at the 9th St and W St NW. The look out is for a black SUV occupied with three (3) black males wearing dark clothing. This is non-Howard related. Two (2) reported injuries and transported to the hospital. No further information at this time.,9th St and W St NW,4/2/24,Shooting
"The Metropolitan Police Department (MPD) is investigating a shooting at approximately 2:40 am at the 9th St and V St NW. The look out is for a black male with a black ski mask, black hoodie, brown trench coat, and shoulder length locks. This is non-Howard related. No reported injuries. No further information at this time.",9th St and V St NW,3/2/24,Shooting
"The Metropolitan Police Department (MPD) is investigating a non-Howard related robbery of a convenience store in the 1900 block of 4th NW at approximately 2:30pm. The lookout is for a black male wearing a black ski mask, black hoodie with Washington on it, and black Jordan 8’s.",1900 Block of 4th Ave NW,1/21/24,Theft
"The Metropolitan Police Department (MPD) is investigating an attempted robbery that occurred at approximately 11:05pm in the 2400 blk of Georgia Ave, NW. A lookout has been established for two armed Black males who entered a black Kia with Maryland tag number 2EZ5458 last seen traveling North on Georgia Ave. Nothing was obtained and there are no reported injuries.",2400 Block of Georgia Ave.,1/13/24,Attempted Robbery
The Metropolitan Police Department (MPD) is investigating a theft that occurred at approximately 3:15pm. Two complainants expressed scooters were stolen by 2 teenage black males using tools to take a Kiwibot scooter from a bike rack. The scooter is all black with black tires with a yellow ring. The tracker on the scooter has been activated to track by MPD.,n/a,1/18/24,Theft
"The Metropolitan Police Department (MPD) and Howard University Department of Public Safety (HU DPS) are investigating an armed robbery that occurred at approximately 4:20pm in the 2400 block of 6th Place NW. The complainant stated their jacket, cell phone, keys, and AirPods were taken. The look out is for one black male wearing all black clothes, black jacket, black shoes, and a ski mask. The complainant is a part of the Howard community. No further details or description at this time.",2400 Block of 6th Pl NW,1/28/24,Armed Robbery
"The Metropolitan Police Department (MPD) are investigating an armed robbery that occurred at approximately 6:00pm in the 2400 block of Georgia Ave NW. The non-Howard related complainant stated an unknown black male was walking down the street, when a blue Hyundai pulled up along side of them. Two (2) male subjects exited the vehicle, both armed with weapons. The complainant expressed a wallet and cell phone were taken. Subjects jumped back into vehicle and were last seen southbound on New Jersey Avenue NW into the tunnel.  Complainant cell phone recovered at 6th & L street NW. This is non-Howard related. No further details or description at this time.",2400 Block of Georgia Ave.,2/15/24,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating an attempted robbery that occurred at approximately 11:05pm in the 2400 blk of Georgia Ave, NW. A lookout has been established for two armed Black males who entered a black Kia with Maryland tag number 2EZ5458 last seen traveling North on Georgia Ave. Nothing was obtained and there are no reported injuries.",2400 Block of Georgia Ave.,1/13/24,Attempted Robbery
"The Metropolitan Police Department (MPD) is investigating an armed robbery at approximately 8:45pm at the 600 block of W St. NW. Two complaints from Howard were approached by two individuals from a gray/silver Toyota and took items from the individuals. The look out is for two black males with black ski masks; one individual with a light complexion and the other individual with a dark complexion. No further description at this time. The gray/silver Toyota was last seen traveling West on W St, NW headed toward Georgia Ave with Maryland tags QMQP 82.",600 Block of W St NW,12/30/23,Armed Robbery
The Metropolitan Police Department (MPD) is investigating a shooting at approximately 10:50pm at the 2200 block of Georgia Ave. The look out is for a black male with a black ski mask. No further information at this time.,2200 Block of Georgia Ave. NW,12/24/23,Shooting
The Metropolitan Police Department (MPD) is investigating an armed robbery that occurred at approximately 6:14pm in the 500 blk of Gresham Place NW. Two complainants expressed their shoes and cell phones were taken. The look out is for three black male all wearing black clothes and with ski masks. The robbers were last seen running South on 6thStreet. The complainants are apart of the Howard community. No further details or description at this time.,500 Block of Gresham Pl NW,1/8/24,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating an armed robbery by force reported at approximately 7:50 p.m. at 500 Gresham Place NW. A Howard Student was approached by a black male with a black handgun. The assailant was last seen heading westbound on Georgia Ave NW., driving a red Honda Crossover with 4 doors. If you have information about this incident, please contact the HU Department of Public Safety (DPS) at 202-806-1100 or call 911 to reach MPD.",500 Block of Gresham Pl NW,10/14/23,Robbery
The Metropolitan Police Department (MPD) is investigating a robbery reported at approximately 1:20am on the 500 block of W St. NW. The complaint was approached by three individuals wearing black clothing and black masks. The assailants were last seen running from the scene.  This is non-Howard related.,500 Block of W St NW,10/22/23,Robbery
"The Metropolitan Police Department (MPD) is investigating an armed robbery reported at approximately 1:20am on 4th St. NW. The complaints were approached by three individuals wearing dark clothing in a dark colored Honda sedan with tinted windows. The lookout is for 1 male subject, stocky build 5""8 - 5""9 and a 2nd male subject 6""0 - 6""1 skinny build both medium complexion armed with handguns. Subjects were last scene traveling up 4th Street towards 5th Street on Gresham towards Georgia Ave and making a right on Georgia heading northbound.",4th St NW,11/7/23,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating a motor vehicle theft reported at approximately 10:10pm on the 5th and V St. NW. from the A-1 garage. The stolen vehicle is a 2013 Hyundai Sonata  with DC tag GU3589. The lookout is for four (4) male subjects who entered the A-1 garage, 3 had on masks, and exited the garage driving the complainants auto. The complainant was not in or near the vehicle when it was stolen. No reported injuries.",5th & V St NW,11/8/23,Motor Theft
The Metropolitan Police Department (MPD) is investigating a robbery by force reported at approximately 9:40am near campus. The complaint was approached by two black males with a slim build 5’10” to 6” wearing skee masks and dark clothing.,n/a,11/20/23,Robbery
"The Metropolitan Police Department (MPD) is investigating a shooting reported at approximately 11:54 p.m. in the 600 block of T Street, NW. One suspect is described as a Black male wearing a dark hooded sweatshirt carrying a bag with a gun inside of it. A lookout has been established for three Black males traveling in a dark vehicle of an unknown make and model. Preliminary details of the investigation suggest that the complainant and suspected individuals are not affiliated with Howard University.",600 Block of T St NW,6/20/23,Shooting
"The Metropolitan Police Department (MPD) is investigating an attempted armed carjacking reported at approximately 2:00 a.m. in the 2600 block of Georgia Ave., NW. A lookout has been established for three Black males wearing black attire and dark masks. Two of the men are armed with guns, and the group fled the scene in a white Hyundai Sonata with Virginia license plates #TVL5022.",2600 Block of Georgia Ave NW,6/20/23,Motor Theft
"The Metropolitan Police Department (MPD) is investigating a shooting reported at approximately 4:42 a.m. in the 2300 block of Sherman Ave., NW. Two non-Howard affiliated individuals were approached while sitting in a black Mitsubishi Outlander. A lookout has been ordered for a silver Honda Civic with a driver and a passenger. ",2300 Block of Sherman Ave NW,6/18/23,"Shooting, Attempted Robbery"
"The Metropolitan Police Department (MPD) is investigating an armed carjacking reported at approximately 12:55 a.m. in the 2100 block of 8th Street, NW. The complainant is not affiliated with Howard University and the reported vehicle is a white 2019 Toyota Camry with an unknown state license plate #VDX900. A lookout has been established for two Black males armed with a single handgun.",2100 Block of 8th St. NW,5/22/23,Motor Theft
"The Metropolitan Police Department (MPD) is investigating an armed carjacking reported at approximately 1:30 a.m. in the 500 block of W St., NW. The complainant is not affiliated with Howard University and the reported vehicle is a white Toyota Corolla with Florida license plates. A look out has been established for a Black male, wearing all black attire and armed with a black handgun. The suspect was last seen traveling westbound on W Street towards Georgia Ave.",500 Block of W St. NW,4/27/23,Motor Theft
"The Metropolitan Police Department (MPD) is investigating an armed carjacking reported at approximately 1:30 a.m. at the intersection of Georgia Ave. and Euclid St., NW. The complainant is not affiliated with Howard University. The vehicle is a red 2015 Honda CRV with Virginia license plates, #HLLAL8.  A lookout has been issued for two Black males armed with handguns. One suspect is described as 5'7"" and wearing a blue hooded sweatshirt and a black ski mask. The other suspect is described as 6'0"" and wearing a black sweatshirt, blue jeans, and a dark ski mask.",Georgia & Euclid Street NW,4/23/23,Motor Theft
